first_name,last_name,email,cohort
Arch,Sawayn,adell@crist.biz,Alpha
Myrtice,Roberts,lizzie@haag.com,Alpha
Juanita,Streich,ashlee_veum@jerdemoore.name,Alpha
Eddie,Romaguera,audreanne_heel@vonrueden.net,Alpha
Althea,Johns,annabel@quitzonzemlak.com,Alpha
Billie,Jones,marcelina.shields@johnson.net,Alpha
Amiya,Hudson,remington.rogahn@uptonlind.com,Alpha
Gerard,Roob,bernice@andersonkaulke.net,Alpha
Rahul,Runolfsson,johnathon@fay.org,Alpha
Margaretta,Herzog,maryse@harber.biz,Alpha
Heaven,Strosin,jacey@jerdejones.biz,Alpha
Hilario,Davis,jayde_roberts@ondricka.name,Alpha
Jovany,Veum,myrl@stanton.name,Alpha
Trey,Stanton,ezra_schowalter@medhurst.name,Alpha
Elvie,Reinger,serena.ritchie@schultzwolf.name,Alpha
Jacquelyn,Russel,brett.rempel@vonrueden.org,Alpha
Shayna,Jacobson,lavon.turner@gibson.name,Alpha
Fabian,Greenfelder,abraham.eichmann@gislason.biz,Alpha
Nestor,Barrows,isabella@bogan.biz,Alpha
Mallory,Keebler,jada@collier.net,Alpha
Furman,Streich,nedra@dietrich.com,Beta
Joy,Paucek,amber.hauck@osinskikovacek.name,Beta
Reece,Morissette,alena@eichmannondricka.biz,Beta
Kiarra,Bergnaum,dustin@beier.info,Beta
Rex,Kris,jensen@bechtelar.name,Beta
Kennith,McClure,jaren@pouros.name,Beta
Zola,Reichel,sydney@labadie.info,Beta
Nash,Gerlach,mallory@koelpinconsidine.biz,Beta
Kaya,Parker,marc.goodwin@towneebert.biz,Beta
Sage,Kunde,flavie_dibbert@little.net,Beta
Davion,Graham,wilfredo_douglas@gleason.org,Beta
Abelardo,Windler,waldo_crist@casper.com,Beta
Mark,Runte,eden.hauck@kirlindicki.biz,Beta
Fleta,Graham,prince_rohan@hyatt.net,Beta
Lonnie,Wolff,melya@johnsonlangosh.org,Beta
Ricky,Grimes,soledad@grady.biz,Beta
Sarah,Spinka,abe_schimmel@dooley.name,Beta
Yvonne,Bartell,amira_hintz@altenwerth.com,Beta
Skyla,Spinka,ernesto_jakubowski@morar.name,Beta
Abelardo,Stokes,ethyl_smith@krajciklynch.info,Beta
Neal,Brown,demario_emard@rohanschumm.biz,Gamma
Greyson,Reynolds,maiya@mullerbailey.org,Gamma
Stephania,Trantow,ana_carter@kris.info,Gamma
Fletcher,Little,margarita@bins.info,Gamma
Mireille,McClure,edmund@walker.org,Gamma
Winfield,Price,treie_cruickshank@goyetteabernathy.biz,Gamma
Toney,Ward,foster.smith@hyatt.org,Gamma
Emile,West,marshall@littel.biz,Gamma
Troy,Kihn,kali_cartwright@heel.biz,Gamma
Kayli,Ledner,maryjane_torp@towne.name,Gamma
Christa,Streich,wilfredo_bruen@spencer.info,Gamma
Karen,Reinger,clark@runtewilderman.name,Gamma
Onie,Sawayn,lon@heller.info,Gamma
Eleanora,Schowalter,sofia@prosacco.biz,Gamma
Rubie,Cruickshank,fredy@hagenesgibson.biz,Gamma
Thora,Schmeler,juwan@jacobson.net,Gamma
Deshaun,Hagenes,deion_ondricka@lubowitz.biz,Gamma
Cicero,Sauer,allie@krislarkin.org,Gamma
Tate,Larkin,jonathon@schumm.name,Gamma
Bethel,Boyer,audrey@townebednar.org,Gamma
